name,home_url,sitemap_url,use_sitemap,active
anupambharatonline,http://www.anupambharatonline.com/,http://www.anupambharatonline.com/sitemap.xml,False,True
dharitri,http://www.dharitri.com/,http://www.dharitri.com/sitemap.xml,False,True
dinalipi,https://dinalipi.com/,https://dinalipi.com/sitemap.xml,False,True
enewsodia,https://enewsodia.com/,https://enewsodia.com/sitemap.xml,False,True
eodishasamachar,http://eodishasamachar.com/,http://eodishasamachar.com/sitemap.xml,False,True
incredibleorissa,https://incredibleorissa.com/,https://incredibleorissa.com/sitemap.xml,False,True
mbctv,http://www.mbctv.co.in/,http://www.mbctv.co.in/sitemap.xml,False,True
nijuktikhabar,http://nijuktikhabar.net/,http://nijuktikhabar.net/sitemap.xml,False,True
odiapua,https://odiapua.com/,https://odiapua.com/sitemap.xml,False,True
odishabhaskar,http://odishabhaskar.com/,http://odishabhaskar.com/sitemap.xml,False,True
odisha,http://www.odisha.com/,http://www.odisha.com/sitemap.xml,False,True
odishainfocus,https://www.odishainfocus.com/,https://www.odishainfocus.com/sitemap.xml,False,True
odishareporter,https://odishareporter.in/,https://odishareporter.in/sitemap.xml,False,True
odishasamaya,http://odishasamaya.com/,http://odishasamaya.com/sitemap.xml,False,True
odishatourism,https://odishatourism.gov.in/,https://odishatourism.gov.in/sitemap.xml,False,True
odishatv,https://odishatv.in/,https://odishatv.in/sitemap.xml,False,True
odissi,http://www.odissi.com/,http://www.odissi.com/sitemap.xml,False,True
orissadiary,http://orissadiary.com/,http://orissadiary.com/sitemap.xml,False,True
orissapost,https://www.orissapost.com/,https://www.orissapost.com/sitemap.xml,False,True
orissasociety,http://www.orissasociety.org/,http://www.orissasociety.org/sitemap.xml,False,True
pragativadi,http://www.pragativadi.com/,http://www.pragativadi.com/sitemap.xml,False,True
prameyanews,http://www.prameyanews.com/,http://www.prameyanews.com/sitemap.xml,False,True
samayaepaper,http://www.samayaepaper.com/,http://www.samayaepaper.com/sitemap.xml,False,True
samajalive,https://www.samajalive.in/,,False,True
sambad,http://sambad.in/,http://sambad.in/sitemap.xml,False,True
sarbasadharana,http://sarbasadharana.com/,http://sarbasadharana.com/sitemap.xml,False,True
thesamaja,http://thesamaja.in/,http://thesamaja.in/sitemap.xml,False,True
